Model Type,Accuracy Improvement,Precision Improvement,Recall Improvement,F1-Score Improvement
Random Forest (Multi-Source vs. Single-Source),3.3333333333333326,2.3877327491785283,1.8292682926829285,2.111080408952748
Logistic Regression (Multi-Source vs. Single-Source),4.285714285714281,2.413031080695749,3.0487804878048808,2.7244931387180094
